Zipcode	Category	Proportion	Prevelance	COUNTYNAME
32003	Non-white	0.09000000000000001	7.752127214395313	Clay
32011	Non-white	0.04	10.503825211937418	Nassau
32024	Non-white	0.060000000000000005	8.72403865926383	Columbia
32024	Non-white	0.060000000000000005	8.72403865926383	Suwannee
32024	Non-white	0.060000000000000005	0.07197203372403867	Columbia
32024	Non-white	0.060000000000000005	0.07197203372403867	Suwannee
32025	Non-white	0.26	14.669456781687733	Columbia
32034	Non-white	0.08	7.152081329853003	Nassau
32038	Non-white	0.09999999999999999	6.038884524744698	Columbia
32043	Non-white	0.09999999999999999	9.662341547320793	Clay
32043	Non-white	0.09999999999999999	9.662341547320793	Putnam
32043	Non-white	0.09999999999999999	0	Clay
32043	Non-white	0.09999999999999999	0	Putnam
32060	Non-white	0.15	12.807513297872342	Suwannee
32065	Non-white	0.26	8.522650893937357	Clay
32068	Non-white	0.06999999999999999	6.990663990925748	Clay
32073	Non-white	0.27	8.24082784571966	Clay
32080	Non-white	0.01	0	Flagler
32080	Non-white	0.01	0	St. Johns
32080	Non-white	0.01	5.92516059476214	Flagler
32080	Non-white	0.01	5.92516059476214	St. Johns
32081	Non-white	0.11	0.28271405492730206	Duval
32081	Non-white	0.11	0.28271405492730206	St. Johns
32081	Non-white	0.11	10.009423801830911	Duval
32081	Non-white	0.11	10.009423801830911	St. Johns
32082	Non-white	0.04	7.973411048167916	St. Johns
32084	Non-white	0.17	7.427085372332988	St. Johns
32086	Non-white	0.05	7.829614604462474	St. Johns
32092	Non-white	0.08	8.529205165613012	St. Johns
32110	Non-white	0.12	5.733639772589815	Flagler
32114	Non-white	0.54	7.863731847657321	Volusia
32117	Non-white	0.32999999999999996	8.52980132450331	Volusia
32118	Non-white	0.06	5.159817351598173	Volusia
32119	Non-white	0.15	5.419799498746867	Volusia
32127	Non-white	0.07	5.579314428580828	Volusia
32128	Non-white	0.09999999999999999	5.731010716140301	Volusia
32129	Non-white	0.12	5.517241379310345	Volusia
32132	Non-white	0.04	5.178335535006605	Volusia
32136	Non-white	0.05	4.936190705514086	Flagler
32136	Non-white	0.05	4.936190705514086	Volusia
32136	Non-white	0.05	0.04815795810257645	Flagler
32136	Non-white	0.05	0.04815795810257645	Volusia
32137	Non-white	0.12	5.025526483726867	Flagler
32141	Non-white	0.04	4.3718144080710415	Volusia
32159	Non-white	0.04	5.1671122994652405	Lake
32159	Non-white	0.04	5.1671122994652405	Sumter
32159	Non-white	0.04	0.10695187165775401	Lake
32159	Non-white	0.04	0.10695187165775401	Sumter
32162	Non-white	0.01	0.36214081636366946	Marion
32162	Non-white	0.01	0.36214081636366946	Sumter
32162	Non-white	0.01	4.187366926898509	Marion
32162	Non-white	0.01	4.187366926898509	Sumter
32164	Non-white	0.16999999999999998	5.5385395323292705	Flagler
32168	Non-white	0.060000000000000005	6.149066078976842	Volusia
32174	Non-white	0.06	0.007817844229453728	Flagler
32174	Non-white	0.06	0.007817844229453728	Volusia
32174	Non-white	0.06	5.585849701944689	Flagler
32174	Non-white	0.06	5.585849701944689	Volusia
32176	Non-white	0.04	4.730290456431535	Volusia
32177	Non-white	0.27	9.864034270813931	Putnam
32205	Non-white	0.27	8.041577297475664	Duval
32206	Non-white	0.74	8.810132900730018	Duval
32207	Non-white	0.29	8.808611361587015	Duval
32208	Non-white	0.82	11.82516779611556	Duval
32209	Non-white	0.95	8.324509944198025	Duval
32210	Non-white	0.44	8.707774626095926	Duval
32211	Non-white	0.42000000000000004	7.344981350085537	Duval
32216	Non-white	0.29000000000000004	10.870759331432607	Duval
32217	Non-white	0.16	8.045630433690135	Duval
32218	Non-white	0.54	9.703626165888107	Duval
32220	Non-white	0.21000000000000002	8.936137431630845	Duval
32221	Non-white	0.4	9.45631067961165	Duval
32223	Non-white	0.05	7.923975418175898	Duval
32224	Non-white	0.14	7.274501793090926	Duval
32225	Non-white	0.23	9.040677596422988	Duval
32226	Non-white	0.19999999999999998	10.704027573881406	Duval
32233	Non-white	0.15	7.117979102446055	Duval
32244	Non-white	0.45	8.277499074105249	Duval
32246	Non-white	0.30000000000000004	9.306247455852992	Duval
32250	Non-white	0.04	10.651104749321002	Duval
32254	Non-white	0.62	8.606954061499517	Duval
32256	Non-white	0.3	8.835492146924473	Duval
32257	Non-white	0.18	8.533333333333333	Duval
32258	Non-white	0.22	8.570337289928311	Duval
32259	Non-white	0.09	8.381138136759981	St. Johns
32277	Non-white	0.47	7.736566956414142	Duval
32301	Non-white	0.53	9.684835712232973	Leon
32303	Non-white	0.37	8.468880780093595	Leon
32304	Non-white	0.42	12.338013499709575	Leon
32305	Non-white	0.6	8.24323031288872	Leon
32308	Non-white	0.26	10.363611602887103	Leon
32309	Non-white	0.16999999999999998	0	Jefferson
32309	Non-white	0.16999999999999998	0	Leon
32309	Non-white	0.16999999999999998	7.03547805171377	Jefferson
32309	Non-white	0.16999999999999998	7.03547805171377	Leon
32310	Non-white	0.55	10.505661348430262	Leon
32311	Non-white	0.37	7.397592526051024	Leon
32312	Non-white	0.17	7.802824634719214	Leon
32317	Non-white	0.16999999999999998	7.643183651519225	Leon
32322	Non-white	0.22	12.99449173760641	Franklin
32327	Non-white	0.17	0.014022787028921999	Leon
32327	Non-white	0.17	0.014022787028921999	Wakulla
32327	Non-white	0.17	9.833479404031552	Leon
32327	Non-white	0.17	9.833479404031552	Wakulla
32340	Non-white	0.46	11.06910497626165	Madison
32344	Non-white	0.38	9.946584655228229	Jefferson
32347	Non-white	0.09000000000000001	10.881850440268103	Taylor
32351	Non-white	0.58	11.949786324786325	Gadsden
32401	Non-white	0.31	8.76197394107232	Bay
32404	Non-white	0.19999999999999998	9.865073538718578	Bay
32405	Non-white	0.16999999999999998	9.662210366326498	Bay
32407	Non-white	0.09999999999999999	13.038255405655146	Bay
32408	Non-white	0.07	8.518871925360475	Bay
32425	Non-white	0.1	11.489768879729132	Holmes
32425	Non-white	0.1	11.489768879729132	Washington
32425	Non-white	0.1	0.14721036360959813	Holmes
32425	Non-white	0.1	0.14721036360959813	Washington
32428	Non-white	0.17	0.02277385561375541	Jackson
32428	Non-white	0.17	0.02277385561375541	Washington
32428	Non-white	0.17	11.529264404463675	Jackson
32428	Non-white	0.17	11.529264404463675	Washington
32433	Non-white	0.12	8.26201264194216	Walton
32444	Non-white	0.09999999999999999	10.702522221720887	Bay
32446	Non-white	0.25	13.405308142150247	Jackson
32459	Non-white	0.02	12.52541683611224	Walton
32460	Non-white	0.31	9.52548330404218	Jackson
32501	Non-white	0.59	17.001975929585058	Escambia
32503	Non-white	0.32999999999999996	8.684602576461309	Escambia
32504	Non-white	0.21	10.17640280117011	Escambia
32505	Non-white	0.48000000000000004	9.565910298246944	Escambia
32506	Non-white	0.27	7.639646519746892	Escambia
32507	Non-white	0.22	6.563345791983504	Escambia
32514	Non-white	0.25	10.347752332485156	Escambia
32526	Non-white	0.19999999999999998	9.682412596744063	Escambia
32533	Non-white	0.18000000000000002	10.140342610978358	Escambia
32534	Non-white	0.31000000000000005	9.781576448243115	Escambia
32536	Non-white	0.16	8.66210329807094	Okaloosa
32539	Non-white	0.16	9.223059307689754	Okaloosa
32539	Non-white	0.16	9.223059307689754	Walton
32539	Non-white	0.16	0.013275364242806412	Okaloosa
32539	Non-white	0.16	0.013275364242806412	Walton
32541	Non-white	0.06	9.697891534669044	Okaloosa
32547	Non-white	0.19	9.233906204485873	Okaloosa
32548	Non-white	0.21000000000000002	9.001289847060992	Okaloosa
32550	Non-white	0.09	9.313111055402356	Walton
32561	Non-white	0.01	0.5239294710327456	Escambia
32561	Non-white	0.01	0.5239294710327456	Santa Rosa
32561	Non-white	0.01	7.193954659949623	Escambia
32561	Non-white	0.01	7.193954659949623	Santa Rosa
32563	Non-white	0.05	9.327724606359986	Santa Rosa
32566	Non-white	0.12	8.684629150924637	Santa Rosa
32570	Non-white	0.11	9.919913212724547	Santa Rosa
32571	Non-white	0.06	9.943693693693694	Santa Rosa
32578	Non-white	0.09	9.200120736492606	Okaloosa
32578	Non-white	0.09	9.200120736492606	Walton
32578	Non-white	0.09	0.02112888620585572	Okaloosa
32578	Non-white	0.09	0.02112888620585572	Walton
32579	Non-white	0.14	7.980266976204295	Okaloosa
32583	Non-white	0.13999999999999999	9.606674612634087	Santa Rosa
32605	Non-white	0.16	5.947722648301769	Alachua
32606	Non-white	0.2	6.074567016466172	Alachua
32607	Non-white	0.29	8.936254716356656	Alachua
32608	Non-white	0.29	7.01987555125959	Alachua
32615	Non-white	0.22	8.1994866153282	Alachua
32626	Non-white	0.13	7.538146208153041	Levy
32641	Non-white	0.72	8.068721171201283	Alachua
32643	Non-white	0.1	5.743185324875707	Alachua
32643	Non-white	0.1	5.743185324875707	Columbia
32643	Non-white	0.1	5.743185324875707	Gilchrist
32643	Non-white	0.1	0.03428767358134751	Alachua
32643	Non-white	0.1	0.03428767358134751	Columbia
32643	Non-white	0.1	0.03428767358134751	Gilchrist
32643	Non-white	0.1	0.1457226127207269	Alachua
32643	Non-white	0.1	0.1457226127207269	Columbia
32643	Non-white	0.1	0.1457226127207269	Gilchrist
32653	Non-white	0.23	5.103349964362081	Alachua
32693	Non-white	0.1	8.003703080289513	Gilchrist
32693	Non-white	0.1	8.003703080289513	Levy
32693	Non-white	0.1	0.14307355664029625	Gilchrist
32693	Non-white	0.1	0.14307355664029625	Levy
32696	Non-white	0.17	8.290447089096173	Levy
32696	Non-white	0.17	8.290447089096173	Marion
32696	Non-white	0.17	0.04020585397233837	Levy
32696	Non-white	0.17	0.04020585397233837	Marion
32701	Non-white	0.24	6.582388840453357	Seminole
32703	Non-white	0.31999999999999995	6.839276082063874	Orange
32703	Non-white	0.31999999999999995	6.839276082063874	Seminole
32703	Non-white	0.31999999999999995	0.2120417387422577	Orange
32703	Non-white	0.31999999999999995	0.2120417387422577	Seminole
32707	Non-white	0.14	6.154956154956155	Seminole
32708	Non-white	0.12	6.045495664452927	Seminole
32712	Non-white	0.2	6.463001806816057	Orange
32713	Non-white	0.08	5.6289488799540495	Volusia
32714	Non-white	0.19	6.737579315973777	Seminole
32720	Non-white	0.15000000000000002	0.012337682366367477	Lake
32720	Non-white	0.15000000000000002	0.012337682366367477	Volusia
32720	Non-white	0.15000000000000002	6.085561827210759	Lake
32720	Non-white	0.15000000000000002	6.085561827210759	Volusia
32724	Non-white	0.09999999999999999	6.439219718081221	Volusia
32725	Non-white	0.15	6.1454640145824575	Volusia
32726	Non-white	0.22	6.977985323549032	Lake
32738	Non-white	0.16	6.005130341365022	Volusia
32746	Non-white	0.16999999999999998	5.614004066837592	Seminole
32750	Non-white	0.11	5.7382617382617385	Seminole
32751	Non-white	0.21	7.2226425170219395	Orange
32751	Non-white	0.21	7.2226425170219395	Seminole
32751	Non-white	0.21	0.34266387788705444	Orange
32751	Non-white	0.21	0.34266387788705444	Seminole
32754	Non-white	0.06999999999999999	3.741806263656227	Brevard
32754	Non-white	0.06999999999999999	3.741806263656227	Volusia
32754	Non-white	0.06999999999999999	0.03641660597232338	Brevard
32754	Non-white	0.06999999999999999	0.03641660597232338	Volusia
32757	Non-white	0.17	6.498749553411932	Lake
32757	Non-white	0.17	6.498749553411932	Orange
32757	Non-white	0.17	0.050017863522686674	Lake
32757	Non-white	0.17	0.050017863522686674	Orange
32763	Non-white	0.1	6.448425484383727	Volusia
32765	Non-white	0.16	5.920520321155163	Seminole
32771	Non-white	0.35	6.440834607045106	Seminole
32773	Non-white	0.31	7.122497998398719	Seminole
32778	Non-white	0.15	7.989667765208871	Lake
32779	Non-white	0.08	5.99601391750836	Seminole
32780	Non-white	0.18	4.668291062133126	Brevard
32789	Non-white	0.11000000000000001	6.842125136880263	Orange
32792	Non-white	0.17	5.166573104396136	Orange
32792	Non-white	0.17	5.166573104396136	Seminole
32792	Non-white	0.17	0.5013647186356684	Orange
32792	Non-white	0.17	0.5013647186356684	Seminole
32796	Non-white	0.14	4.017662186423408	Brevard
32801	Non-white	0.15000000000000002	13.869149718206323	Orange
32803	Non-white	0.1	9.435179670438753	Orange
32804	Non-white	0.09	9.116129390223602	Orange
32805	Non-white	0.79	8.969748254707003	Orange
32806	Non-white	0.09000000000000001	6.966487111818083	Orange
32807	Non-white	0.17	8.575786353564132	Orange
32808	Non-white	0.8	5.741174883203184	Orange
32809	Non-white	0.23	8.413816807011514	Orange
32810	Non-white	0.43	6.003539262037453	Orange
32811	Non-white	0.62	8.424872737900966	Orange
32812	Non-white	0.13	7.220750244038489	Orange
32817	Non-white	0.2	7.1130760836108236	Orange
32818	Non-white	0.78	5.261349187257294	Orange
32819	Non-white	0.25	11.170977011494253	Orange
32821	Non-white	0.14	13.048642533936652	Orange
32822	Non-white	0.14	9.217940414507773	Orange
32824	Non-white	0.22	13.05881846736371	Orange
32825	Non-white	0.18	8.267388927866339	Orange
32826	Non-white	0.13	5.433423195575442	Orange
32835	Non-white	0.34	7.321435999833604	Orange
32837	Non-white	0.24000000000000002	10.54375365425843	Orange
32839	Non-white	0.51	7.951064553946225	Orange
32901	Non-white	0.25	8.19482641795209	Brevard
32904	Non-white	0.1	7.632708942684673	Brevard
32905	Non-white	0.18	6.4887134151574974	Brevard
32907	Non-white	0.23	6.3814197215622706	Brevard
32909	Non-white	0.23	7.628555886211641	Brevard
32922	Non-white	0.44	6.164342569872524	Brevard
32926	Non-white	0.16	4.120465434633813	Brevard
32927	Non-white	0.08	4.069109106184023	Brevard
32931	Non-white	0.03	5.279209933919105	Brevard
32934	Non-white	0.08	5.694844281601675	Brevard
32935	Non-white	0.1	5.234293479579703	Brevard
32937	Non-white	0.04	5.121411201045333	Brevard
32940	Non-white	0.08	5.335420075407271	Brevard
32951	Non-white	0.01	3.5827626524135625	Brevard
32952	Non-white	0.03	4.788705523228084	Brevard
32953	Non-white	0.08	5.65186515727474	Brevard
32955	Non-white	0.13999999999999999	4.9988428604489705	Brevard
32958	Non-white	0.05	5.318516965440123	Indian River
32960	Non-white	0.13	10.09257578507896	Indian River
32962	Non-white	0.09999999999999999	6.062209456139687	Indian River
32963	Non-white	0.02	4.738138018233846	Indian River
32963	Non-white	0.02	4.738138018233846	St. Lucie
32963	Non-white	0.02	0.0266187529114261	Indian River
32963	Non-white	0.02	0.0266187529114261	St. Lucie
32966	Non-white	0.05	5.898602534936626	Indian River
32968	Non-white	0.07	6.515128478029498	Indian River
32976	Non-white	0	4.652441706995161	Brevard
33004	Non-white	0.31	8.54371346847407	Broward
33009	Non-white	0.22	9.524267641541199	Broward
33010	Non-white	0.04	17.104274410997657	Dade
33012	Non-white	0.02	16.6725361651406	Dade
33013	Non-white	0.03	18.570257315842582	Dade
33014	Non-white	0.05	15.399293960499952	Dade
33015	Non-white	0.11	15.161256715929216	Dade
33016	Non-white	0.04	16.60541586073501	Dade
33018	Non-white	0.02	18.33055654355192	Dade
33020	Non-white	0.32	9.557667176113585	Broward
33021	Non-white	0.19	10.336196712120302	Broward
33023	Non-white	0.5800000000000001	10.187500844902871	Broward
33024	Non-white	0.29	11.224969937784284	Broward
33025	Non-white	0.5900000000000001	11.394835757476713	Broward
33026	Non-white	0.21	8.692107491141702	Broward
33027	Non-white	0.32	10.548954333459681	Broward
33028	Non-white	0.25	13.490762812872466	Broward
33029	Non-white	0.23	10.016403313884679	Broward
33030	Non-white	0.24	14.63898252273178	Dade
33032	Non-white	0.31	15.037399022638876	Dade
33033	Non-white	0.19	14.373491707600937	Dade
33034	Non-white	0.42	12.428868214253455	Dade
33034	Non-white	0.42	12.428868214253455	Monroe
33034	Non-white	0.42	0	Dade
33034	Non-white	0.42	0	Monroe
33037	Non-white	0.02	7.914201183431953	Monroe
33040	Non-white	0.16	8.22140349859302	Monroe
33050	Non-white	0.08	6.883405697341946	Monroe
33055	Non-white	0.33	16.632830271751097	Dade
33056	Non-white	0.83	12.9880919412905	Dade
33060	Non-white	0.44	9.21514410294587	Broward
33062	Non-white	0.03	6.914331041776838	Broward
33063	Non-white	0.31	9.156049500063977	Broward
33064	Non-white	0.34	10.443280635635391	Broward
33065	Non-white	0.37	9.618194633064585	Broward
33066	Non-white	0.18	8.237822349570202	Broward
33067	Non-white	0.22999999999999998	8.615395862270633	Broward
33068	Non-white	0.64	9.679804356480691	Broward
33069	Non-white	0.46	9.961617741132986	Broward
33071	Non-white	0.22999999999999998	8.85234252068423	Broward
33073	Non-white	0.19	10.384985018938323	Broward
33076	Non-white	0.18	7.891842111995088	Broward
33125	Non-white	0.09	17.826541958270653	Dade
33126	Non-white	0.03	15.836258634356245	Dade
33127	Non-white	0.56	10.576139426995173	Dade
33130	Non-white	0.05	18.717422739348287	Dade
33131	Non-white	0.07	17.800508740596417	Dade
33135	Non-white	0.03	13.576567317574511	Dade
33137	Non-white	0.25	16.74145066434328	Dade
33140	Non-white	0.04	17.027786137024776	Dade
33141	Non-white	0.11000000000000001	10.460671897002616	Dade
33142	Non-white	0.4	14.63782100113419	Dade
33143	Non-white	0.12	16.808346213292115	Dade
33144	Non-white	0.03	15.273991275899673	Dade
33145	Non-white	0.05	13.056360498811578	Dade
33147	Non-white	0.67	13.666311099956078	Dade
33150	Non-white	0.8300000000000001	9.918386618103332	Dade
33155	Non-white	0.03	15.209043911019585	Dade
33156	Non-white	0.08	12.86626484454258	Dade
33157	Non-white	0.25	13.552738862945668	Dade
33160	Non-white	0.07	12.28575034709075	Dade
33161	Non-white	0.68	8.952431854623196	Dade
33162	Non-white	0.61	9.980264414404855	Dade
33165	Non-white	0.03	17.924832503314107	Dade
33166	Non-white	0.08	19.177688326624498	Dade
33168	Non-white	0.74	9.48420515065295	Dade
33169	Non-white	0.84	10.680824484697064	Dade
33172	Non-white	0.04	17.972137651074824	Dade
33173	Non-white	0.04	13.623862915168184	Dade
33174	Non-white	0.09	15.879429119553528	Dade
33175	Non-white	0.02	17.492689510384643	Dade
33176	Non-white	0.2	12.786872705018359	Dade
33177	Non-white	0.13	15.79112053680075	Dade
33178	Non-white	0.05	26.52185572539555	Dade
33179	Non-white	0.45	11.623553821519588	Dade
33180	Non-white	0.05	12.610585370364664	Dade
33181	Non-white	0.37	10.158619660882104	Dade
33183	Non-white	0.04	15.256637168141593	Dade
33184	Non-white	0.03	15.928391094789992	Dade
33185	Non-white	0.04	14.872923243725882	Dade
33186	Non-white	0.09999999999999999	13.567897814263427	Dade
33187	Non-white	0.13	15.016501650165019	Dade
33189	Non-white	0.21	12.91011147126255	Dade
33190	Non-white	0.21	12.113705332259862	Dade
33193	Non-white	0.05	14.502290045800917	Dade
33196	Non-white	0.09	14.038494165551304	Dade
33301	Non-white	0.12	14.30477715505738	Broward
33305	Non-white	0.060000000000000005	8.861070201276387	Broward
33308	Non-white	0.06	9.15219462152854	Broward
33309	Non-white	0.53	9.52893937910097	Broward
33311	Non-white	0.87	8.637755839785468	Broward
33312	Non-white	0.36000000000000004	9.683894535064558	Broward
33313	Non-white	0.8200000000000001	8.139460870118711	Broward
33314	Non-white	0.2	11.580646344594843	Broward
33315	Non-white	0.09000000000000001	12.861386856024925	Broward
33317	Non-white	0.32	9.173237567335466	Broward
33319	Non-white	0.67	9.601162740990894	Broward
33321	Non-white	0.32	9.436230569674983	Broward
33322	Non-white	0.25	7.701358160472671	Broward
33323	Non-white	0.22999999999999998	10.20276199713639	Broward
33324	Non-white	0.22000000000000003	8.29238454480579	Broward
33325	Non-white	0.12000000000000001	11.062685144199666	Broward
33326	Non-white	0.11	11.045091238123964	Broward
33328	Non-white	0.13	8.75244717477891	Broward
33334	Non-white	0.2	10.083406794602293	Broward
33351	Non-white	0.47	11.065447734071403	Broward
33401	Non-white	0.42	11.440722278383937	Palm Beach
33407	Non-white	0.66	10.275427086304713	Palm Beach
33408	Non-white	0.04	6.48651617509749	Palm Beach
33409	Non-white	0.44	8.222931470552812	Palm Beach
33410	Non-white	0.1	7.287184017783351	Palm Beach
33411	Non-white	0.3	7.239544564827834	Palm Beach
33412	Non-white	0.19	5.720010341261634	Palm Beach
33413	Non-white	0.32999999999999996	9.298335906673529	Palm Beach
33414	Non-white	0.19	6.661448396197185	Palm Beach
33415	Non-white	0.22999999999999998	9.90133420864629	Palm Beach
33417	Non-white	0.4	7.293364549684379	Palm Beach
33418	Non-white	0.11	5.937545814396716	Palm Beach
33426	Non-white	0.24000000000000002	9.08824268834325	Palm Beach
33428	Non-white	0.11000000000000001	9.765690982360464	Palm Beach
33430	Non-white	0.6	9.550319350940791	Palm Beach
33432	Non-white	0.07	8.571289110167424	Palm Beach
33433	Non-white	0.07	10.000745212012818	Palm Beach
33434	Non-white	0.07	6.360441276969637	Palm Beach
33435	Non-white	0.41000000000000003	8.22595808217663	Palm Beach
33436	Non-white	0.26	6.507226505428308	Palm Beach
33437	Non-white	0.13999999999999999	4.76252883204026	Palm Beach
33440	Non-white	0.25	11.330398259197409	Hendry
33440	Non-white	0.25	11.330398259197409	Palm Beach
33440	Non-white	0.25	0.025302363240726686	Hendry
33440	Non-white	0.25	0.025302363240726686	Palm Beach
33441	Non-white	0.37	9.804926252607693	Broward
33442	Non-white	0.12000000000000001	9.073332412650187	Broward
